Model,k,Mean_LL,Accuracy,Severity,N_Samples
hard_labels,1,-3.9791115552733345,0.03089887640449438,8.350010480568875,356
hard_labels,2,-3.982642389815521,0.028169014084507043,8.347693859829198,355
hard_labels,3,-3.9802436748702483,0.02824858757062147,8.33709263539109,354
hard_labels,5,-3.9822283648138095,0.028409090909090908,8.36460389847329,352
hard_labels,10,-3.985852661253695,0.02881844380403458,8.37881184028285,347
soft_gaussian_sigma1.0,1,-3.834993408801536,0.042134831460674156,8.245039516021663,356
soft_gaussian_sigma1.0,2,-3.8366370579432543,0.04225352112676056,8.24448914630927,355
soft_gaussian_sigma1.0,3,-3.8369618483526984,0.0423728813559322,8.23547469394799,354
soft_gaussian_sigma1.0,5,-3.83985286709555,0.04261363636363636,8.26238227829136,352
soft_gaussian_sigma1.0,10,-3.844577635716701,0.040345821325648415,8.273184330983888,347
soft_gaussian_sigma2.0,1,-3.817456772548056,0.03932584269662921,8.248445838092767,356
soft_gaussian_sigma2.0,2,-3.819307393123868,0.03943661971830986,8.247835260699116,355
soft_gaussian_sigma2.0,3,-3.8189630841729114,0.03954802259887006,8.238736661397882,354
soft_gaussian_sigma2.0,5,-3.821131614913638,0.03977272727272727,8.265662981775346,352
soft_gaussian_sigma2.0,10,-3.824738501606763,0.040345821325648415,8.276607726926995,347
Stationary (train),1,-9.564990667948473,0.042134831460674156,8.261290767705718,356
Stationary (train),2,-3.884697826983224,0.03943661971830986,8.263075928481669,355
Stationary (train),3,-3.6813831063192164,0.0423728813559322,8.249841573034598,354
Stationary (train),5,-3.6945291955159494,0.04261363636363636,8.281894668055365,352
Stationary (train),10,-3.6975085107862937,0.040345821325648415,8.294978463771086,347
Marginal,1,-3.692749152062543,0.042134831460674156,8.26690987502797,356
Marginal,2,-3.692661446690409,0.04225352112676056,8.265849532924765,355
Marginal,3,-3.6933143877950187,0.0423728813559322,8.256308623917024,354
Marginal,5,-3.6954867698494556,0.04261363636363636,8.283333104734735,352
Marginal,10,-3.6975572217269486,0.040345821325648415,8.295033383827931,347
